kode_alternatif,kode_unor,unor,kode_jabatan,nama_jabatan,jenis_jabatan,abk,eksisting_asn,eksisting_non_asn,kebutuhan_ideal,pensiun_5th,kebutuhan_prioritas_unor,rasio_kebutuhan_unor,rasio_norm,nilai_jabatan,rasio_pemenuhan_unor,skala_keb_prioritas
A100,OPD-50,LABKESDA,JFK-16,DOKTER SPESIALIS PATOLOGI KLINIK AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.384615385,4
A101,OPD-50,LABKESDA,JFK-19,ENTOMOLOG KESEHATAN TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.384615385,3
A102,OPD-50,LABKESDA,JFK-22,EPIDEMIOLOG KESEHATAN TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.384615385,4
A103,OPD-50,LABKESDA,JFK-29,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.384615385,4
A104,OPD-50,LABKESDA,JFK-30,PRANATA LABORATORIUM KESEHATAN TERAMPIL,FUNGSIONAL KESEHATAN,7,5,0,2,0,2,0.285714286,0.285714286,3,0.384615385,4
A105,OPD-50,LABKESDA,JFK-32,SANITARIAN TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.384615385,3
A106,OPD-51,PKM BALOWERTI,JFK-05,BIDAN TERAMPIL,FUNGSIONAL KESEHATAN,15,6,3,6,0,3,0.2,0.2,3,0.626168224,3
A107,OPD-51,PKM BALOWERTI,JFK-06,DOKTER AHLI PERTAMA,FUNGSIONAL KESEHATAN,3,1,1,1,0,1,0.333333333,0.333333333,3,0.626168224,4
A108,OPD-51,PKM BALOWERTI,JFK-23,NUTRISIONIS TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.626168224,2
A109,OPD-51,PKM BALOWERTI,JFK-27,PERAWAT TERAMPIL,FUNGSIONAL KESEHATAN,6,3,1,2,0,1,0.166666667,0.166666667,3,0.626168224,3
A110,OPD-52,PKM CAMPUREJO,JFK-04,BIDAN AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.5625,4
A111,OPD-52,PKM CAMPUREJO,JFK-21,EPIDEMIOLOG KESEHATAN PELAKSANA,PELAKSANA,1,0,0,1,0,1,1,1,1,0.5625,4
A112,OPD-52,PKM CAMPUREJO,JFK-28,PEREKAM MEDIS TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.5625,3
A113,OPD-52,PKM CAMPUREJO,JFK-30,PRANATA LABORATORIUM KESEHATAN TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.5625,4
A114,OPD-52,PKM CAMPUREJO,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,2,0,0,2,0,1,0.5,0.5,1,0.5625,4
A115,OPD-53,PKM KOWILSEL,JFK-20,ENTOMOLOG TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.530612245,3
A116,OPD-53,PKM KOWILSEL,JFK-23,NUTRISIONIS TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.530612245,3
A117,OPD-53,PKM KOWILSEL,JFK-27,PERAWAT TERAMPIL,FUNGSIONAL KESEHATAN,7,3,2,2,0,2,0.285714286,0.285714286,3,0.530612245,3
A118,OPD-53,PKM KOWILSEL,JFK-30,PRANATA LABORATORIUM KESEHATAN TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.530612245,4
A119,OPD-53,PKM KOWILSEL,JP-03,OPERATOR LAYANAN OPERASIONAL,PELAKSANA,4,0,3,1,0,1,0.25,0.25,1,0.530612245,4
A120,OPD-53,PKM KOWILSEL,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,6,1,1,4,0,4,0.666666667,0.666666667,1,0.530612245,4
A121,OPD-54,PKM KOWILUT,JFK-02,APOTEKER AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.558139535,4
A122,OPD-54,PKM KOWILUT,JFK-22,EPIDEMIOLOG KESEHATAN TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.558139535,4
A123,OPD-54,PKM KOWILUT,JFK-33,TERAPIS GIGI DAN MULUT TERAMPIL,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.558139535,2
A124,OPD-54,PKM KOWILUT,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,1,0,0,1,0,1,1,1,1,0.558139535,4
A125,OPD-55,PKM MRICAN,JFK-03,ASISTEN APOTEKER TERAMPIL,FUNGSIONAL KESEHATAN,2,0,0,2,0,2,1,1,3,0.572916667,3
A126,OPD-55,PKM MRICAN,JFK-04,BIDAN AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.572916667,4
A127,OPD-55,PKM MRICAN,JFK-06,DOKTER AHLI PERTAMA,FUNGSIONAL KESEHATAN,2,1,0,1,0,1,0.5,0.5,3,0.572916667,2
A128,OPD-55,PKM MRICAN,JFK-27,PERAWAT TERAMPIL,FUNGSIONAL KESEHATAN,8,2,5,1,0,1,0.125,0.125,3,0.572916667,4
A129,OPD-55,PKM MRICAN,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,7,0,2,5,0,2,0.285714286,0.285714286,1,0.572916667,4
A130,OPD-55,PKM MRICAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,2,0,0,2,0,2,1,1,1,0.572916667,4
A131,OPD-56,PKM NGLETIH,JFK-26,PERAWAT AHLI PERTAMA,FUNGSIONAL KESEHATAN,3,0,1,2,0,1,0.333333333,0.333333333,3,0.647058824,4
A132,OPD-56,PKM NGLETIH,JP-03,OPERATOR LAYANAN OPERASIONAL,PELAKSANA,8,0,7,1,0,1,0.125,0.125,1,0.647058824,2
A133,OPD-56,PKM NGLETIH,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,3,0,0,3,0,1,0.333333333,0.333333333,1,0.647058824,3
A134,OPD-57,PKM PESANTREN 1,JFK-06,DOKTER AHLI PERTAMA,FUNGSIONAL KESEHATAN,2,1,0,1,0,1,0.5,0.5,3,0.577777778,2
A135,OPD-57,PKM PESANTREN 1,JP-03,OPERATOR LAYANAN OPERASIONAL,PELAKSANA,4,0,1,3,0,1,0.25,0.25,1,0.577777778,4
