kode_alternatif,kode_unor,unor,kode_jabatan,nama_jabatan,jenis_jabatan,abk,eksisting_asn,eksisting_non_asn,kebutuhan_ideal,pensiun_5th,kebutuhan_prioritas_unor,rasio_kebutuhan_unor,rasio_norm,nilai_jabatan,rasio_pemenuhan_unor,skala_keb_prioritas
A21,OPD-09,DINAS KETAHANAN PANGAN DAN PERTANIAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,18,15,1,2,1,1,0.055555556,0.055555556,1,0.674698795,4
A22,OPD-10,DINAS KOPERASI USAHA MIKRO DAN TENAGA KERJA,JFT-15,PRANATA KOMPUTER TERAMPIL,FUNGSIONAL TEKNIS,1,0,0,1,0,1,1,1,2,0.462264151,3
A23,OPD-10,DINAS KOPERASI USAHA MIKRO DAN TENAGA KERJA,JFT-SW-03,PENGAWAS KOPERASI AHLI PERTAMA,FUNGSIONAL TEKNIS (JFT-SW),18,0,0,18,0,3,0.166666667,0.166666667,4,0.462264151,2
A24,OPD-11,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,JFT-06,PENATA KELOLA JALAN DAN JEMBATAN AHLI PERTAMA,FUNGSIONAL TEKNIS,10,3,0,7,0,1,0.1,0.1,2,0.682051282,2
A25,OPD-11,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,JFT-07,PENATA KELOLA PENYEHATAN LINGKUNGAN AHLI PERTAMA,FUNGSIONAL TEKNIS,1,0,0,1,0,1,1,1,2,0.682051282,4
A26,OPD-11,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,JFT-10,PENGELOLA SUMBER DAYA AIR AHLI PERTAMA,FUNGSIONAL TEKNIS,10,2,0,8,0,1,0.1,0.1,2,0.682051282,3
A27,OPD-11,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,JP-04,OPERATOR PENGELOLAAN SUMBER DAYA AIR,PELAKSANA,6,2,0,4,0,2,0.333333333,0.333333333,1,0.682051282,2
A28,OPD-11,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,JP-05,PEMERIKSA SANITASI,PELAKSANA,2,0,0,2,0,1,0.5,0.5,1,0.682051282,2
A29,OPD-11,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,JP-06,PENATA LAKSANA AGRARIA DAN TATA RUANG,PELAKSANA,7,4,0,3,0,2,0.285714286,0.285714286,1,0.682051282,3
A30,OPD-11,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,JP-08,PENELAAH TEKNIS KEBIJAKAN,PELAKSANA,16,4,0,12,0,2,0.125,0.125,1,0.682051282,3
A31,OPD-11,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,JP-10,PENGELOLA BAHAN PERENCANAAN,PELAKSANA,7,4,0,3,1,1,0.142857143,0.142857143,1,0.682051282,2
A32,OPD-11,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,JP-12,PENGELOLA LAYANAN OPERASIONAL,PELAKSANA,10,5,0,5,2,1,0.1,0.1,1,0.682051282,4
A33,OPD-12,DINAS PENDIDIKAN,JFT-03,ANALIS SDM APARATUR AHLI PERTAMA,FUNGSIONAL TEKNIS,1,0,0,1,0,1,1,1,2,0.786885246,2
A34,OPD-12,DINAS PENDIDIKAN,JFT-11,PENGEMBANG TEKNOLOGI PEMBELAJARAN KEAHLIAN AHLI PERTAMA,FUNGSIONAL TEKNIS,1,0,0,1,0,1,1,1,2,0.786885246,2
A35,OPD-12,DINAS PENDIDIKAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,59,38,10,11,9,8,0.13559322,0.13559322,1,0.786885246,3
A36,OPD-13,DINAS PERDAGANGAN DAN PERINDUSTRIAN,JFT-02,ANALIS PERDAGANGAN AHLI PERTAMA,FUNGSIONAL TEKNIS,4,0,0,4,0,1,0.25,0.25,2,0.533333333,4
A37,OPD-13,DINAS PERDAGANGAN DAN PERINDUSTRIAN,JFT-09,PENGAWAS PERDAGANGAN AHLI PERTAMA,FUNGSIONAL TEKNIS,3,0,0,3,0,1,0.333333333,0.333333333,2,0.533333333,3
A38,OPD-13,DINAS PERDAGANGAN DAN PERINDUSTRIAN,JFT-12,PENYULUH PERINDUSTRIAN DAN PERDAGANGAN AHLI PERTAMA,FUNGSIONAL TEKNIS,5,0,0,5,0,1,0.2,0.2,2,0.533333333,4
